Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year,Boro,BORO_NM
1-00007-7501,1 COENTIES SLIP,FINANCIAL,R9-CONDOMINIUM,42,1920.0,36500,1216180,293460.0,922720,7156000.0,2012,1,MANHATTAN
1-00008-7501,39 WHITEHALL STREET,FINANCIAL,R4-CONDOMINIUM,78,1985.0,126420,6823366,1638934.0,5184432,39143000.0,2012,1,MANHATTAN
1-00015-7502,20 WEST STREET,FINANCIAL,R4-CONDOMINIUM,282,1930.0,249076,8946810,2744818.0,6201992,46825007.0,2012,1,MANHATTAN
1-00016-7501,377 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,239,1985.0,219495,7072129,1169908.0,5902221,44562006.0,2012,1,MANHATTAN
1-00016-7502,320 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,133,1986.0,139719,5859815,1664053.0,4195762,31677997.0,2012,1,MANHATTAN
1-00016-7503,250 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,109,1985.0,105000,4471950,1131900.0,3340050,19435362.0,2012,1,MANHATTAN
1-00016-7504,300 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,107,1986.0,87479,3668869,1041875.0,2626994,19833999.0,2012,1,MANHATTAN
1-00016-7505,380 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,247,1987.0,255845,9801422,2499606.0,7301816,55129007.0,2012,1,MANHATTAN
1-00016-7506,280 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,121,1985.0,106129,4451050,1263996.0,3187054,24062007.0,2012,1,MANHATTAN
1-00016-7507,300 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,154,1986.0,126008,5284776,1500755.0,3784021,28569001.0,2012,1,MANHATTAN
1-00016-7508,200 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,546,1987.0,586224,20136794,5229118.0,14907676,112553026.0,2012,1,MANHATTAN
1-00016-7509,21 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,182,1988.0,208281,8122959,2239021.0,5883938,44424000.0,2012,1,MANHATTAN
